Time	Duration	Trackname	Comments
0	0	right	(null)
453	0	left	(null)
671	0	right	(null)
10670	0	left	(null)
11286	0	right	(null)
12095	0	left	(null)
12720	0	right	(null)
13206	0	left	(null)
14147	0	right	(null)
16697	0	left	(null)
17381	0	right	(null)
20034	0	end	(null)
20099	0	left	(null)
21565	0	right	(null)
29875	0	left	(null)
33507	0	right	(null)
34659	0	left	(null)
35799	0	right	(null)
38201	0	away	(null)
40000	0	end	(null)
40034	0	right	(null)
40665	0	left	(null)
41680	0	right	(null)
42464	0	left	(null)
44915	0	right	(null)
49694	0	left	(null)
50678	0	right	(null)
59966	0	end	(null)
736900	0	end	(null)
