Time	Duration	Trackname	Comments
0	0	right	(null)
2733	0	away	(null)
4834	0	left	(null)
6967	0	right	(null)
7967	0	left	(null)
9166	0	right	(null)
14201	0	left	(null)
15199	0	right	(null)
15699	0	left	(null)
18966	0	end	(null)
19000	0	left	(null)
19434	0	right	(null)
20466	0	left	(null)
21867	0	right	(null)
25534	0	left	(null)
26634	0	right	(null)
30700	0	left	(null)
32666	0	right	(null)
36234	0	left	(null)
37433	0	right	(null)
38099	0	end	(null)
38133	0	left	(null)
39400	0	right	(null)
41599	0	left	(null)
42234	0	right	(null)
45067	0	left	(null)
47933	0	right	(null)
48534	0	left	(null)
49034	0	right	(null)
51266	0	left	(null)
52534	0	right	(null)
55034	0	left	(null)
55701	0	right	(null)
56266	0	end	(null)
736900	0	end	(null)
