Time	Duration	Trackname	Comments
87	0	right	(null)
1399	0	left	(null)
3167	0	right	(null)
4900	0	left	(null)
8199	0	right	(null)
11366	0	left	(null)
13300	0	right	(null)
15366	0	left	(null)
18233	0	right	(null)
18867	0	away	(null)
19934	0	end	(null)
19934	0	left	(null)
20600	0	right	(null)
21233	0	left	(null)
23301	0	right	(null)
23634	0	left	(null)
26267	0	away	(null)
27799	0	right	(null)
29100	0	left	(null)
32200	0	away	(null)
39367	0	right	(null)
39799	0	end	(null)
39799	0	left	(null)
40567	0	right	(null)
45433	0	left	(null)
50633	0	right	(null)
55633	0	left	(null)
59633	0	end	(null)
59633	0	left	(null)
61101	0	right	(null)
61266	0	left	(null)
67900	0	right	(null)
69033	0	left	(null)
70266	0	right	(null)
71567	0	left	(null)
73567	0	away	(null)
74666	0	left	(null)
79500	0	end	(null)
79500	0	left	(null)
99199	0	end	(null)
99199	0	right	(null)
100134	0	left	(null)
105199	0	right	(null)
109866	0	left	(null)
114300	0	away	(null)
116766	0	right	(null)
119099	0	end	(null)
119099	0	left	(null)
119967	0	right	(null)
121533	0	left	(null)
125900	0	right	(null)
127967	0	left	(null)
128966	0	away	(null)
130427	3541	fuss	level=1
134233	0	left	(null)
138634	0	away	(null)
138934	0	end	(null)
138934	0	left	(null)
139100	0	right	(null)
139699	0	left	(null)
140701	0	away	(null)
143067	0	left	(null)
144699	0	right	(null)
145533	0	left	(null)
146199	0	away	(null)
146766	1308	fuss	level=1
149367	0	right	(null)
149600	0	left	(null)
150934	0	right	(null)
151399	0	away	(null)
152699	2302	fuss	level=1
155567	0	right	(null)
155966	0	left	(null)
157233	0	away	(null)
158833	0	end	(null)
158833	0	right	(null)
158966	0	left	(null)
159500	0	right	(null)
160067	0	left	(null)
161466	0	right	(null)
162199	0	left	(null)
162867	0	right	(null)
168500	0	away	(null)
169634	0	right	(null)
170600	0	left	(null)
171033	0	right	(null)
174033	0	away	(null)
178667	0	away	(null)
178667	0	end	(null)
180567	0	left	(null)
181634	0	right	(null)
182333	0	left	(null)
183167	0	right	(null)
185934	0	left	(null)
186266	0	right	(null)
193833	0	away	(null)
194367	0	right	(null)
198233	0	end	(null)
198233	19800	outofframe	(null)
218033	0	end	(null)
218167	0	right	(null)
219800	0	away	(null)
224533	0	left	(null)
224934	0	away	(null)
226266	0	left	(null)
227500	0	away	(null)
227934	0	right	(null)
228233	0	away	(null)
236333	0	right	(null)
236867	0	away	(null)
237934	0	end	(null)
237966	0	right	(null)
257834	0	away	(null)
257834	0	end	(null)
258433	0	left	(null)
258666	0	right	(null)
259234	0	left	(null)
260033	0	right	(null)
262134	0	left	(null)
262433	0	away	(null)
263902	5513	fuss	(null)
269200	0	left	(null)
270000	0	away	(null)
271033	0	left	(null)
272399	0	right	(null)
273134	0	left	(null)
273666	0	away	(null)
277834	0	end	(null)
277834	0	left	(null)
278166	0	right	(null)
279467	0	left	(null)
280600	0	right	(null)
282433	0	left	(null)
284533	0	right	(null)
284967	0	left	(null)
295666	0	right	(null)
295967	0	left	(null)
297200	0	away	(null)
297700	0	away	(null)
297700	0	end	(null)
298104	0	left	(null)
301100	0	away	(null)
301834	0	left	(null)
303066	0	right	(null)
304000	0	left	(null)
307266	0	away	(null)
308734	0	left	(null)
309901	0	away	(null)
316033	0	right	(null)
317634	0	end	(null)
317766	0	away	(null)
318299	0	right	(null)
319533	0	left	(null)
319734	0	right	(null)
321000	0	left	(null)
321766	0	right	(null)
323700	0	away	(null)
326533	0	right	(null)
329867	0	away	(null)
333433	0	right	(null)
333967	0	away	(null)
337299	201	talk	(null)
337500	0	end	(null)
337500	0	left	(null)
337533	4102	talk	(null)
337933	729	outofframe	(null)
339933	0	away	(null)
341433	0	right	(null)
342200	2551	peek	(null)
344066	0	away	(null)
344601	0	left	(null)
344933	0	right	(null)
345401	1144	peek	(null)
346433	366	outofframe	(null)
346480	0	away	(null)
347800	0	right	(null)
357399	0	end	(null)
357399	0	left	(null)
357566	0	right	(null)
359433	0	left	(null)
361867	0	right	(null)
363666	0	left	(null)
364600	0	right	(null)
365834	0	away	(null)
371166	0	left	(null)
373200	0	away	(null)
374500	0	left	(null)
375033	0	away	(null)
376834	0	right	(null)
377367	0	end	(null)
377399	0	right	(null)
377766	0	left	(null)
378100	0	right	(null)
380634	0	left	(null)
382566	0	right	(null)
386166	0	left	(null)
387299	0	right	(null)
390967	0	left	(null)
392566	0	right	(null)
395933	0	left	(null)
397299	0	end	(null)
397299	0	right	(null)
397566	0	left	(null)
398500	0	right	(null)
401967	0	left	(null)
403467	0	right	(null)
403899	0	left	(null)
404433	0	right	(null)
405734	0	left	(null)
406334	0	away	(null)
410401	0	right	(null)
412266	0	left	(null)
414367	0	right	(null)
416533	0	left	(null)
417234	0	end	(null)
417234	0	right	(null)
418867	0	away	(null)
421722	4194	fuss	level=1
428834	0	left	(null)
433062	4035	fuss	level=1
433066	0	away	(null)
437134	0	end	(null)
437166	0	away	(null)
447800	0	right	(null)
450134	0	away	(null)
455266	0	right	(null)
455566	0	away	(null)
456100	752	peek	(null)
457000	0	end	(null)
457000	0	left	(null)
461634	0	right	(null)
462799	0	left	(null)
468399	0	right	(null)
469100	0	left	(null)
472467	0	right	(null)
473166	0	left	(null)
476766	0	right	(null)
476967	0	end	(null)
736900	0	end	(null)
